,trace_id,domain,arg_1_id,arg_2_id,bit_count(intervals)
151,me2bPEvz4glQ1Q8GSfm8-gameplay-attempt-4-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,502
152,me2bPEvz4glQ1Q8GSfm8-gameplay-attempt-6-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1117
153,me2bPEvz4glQ1Q8GSfm8-gameplay-attempt-7-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,948
154,me2bPEvz4glQ1Q8GSfm8-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1429
155,me2bPEvz4glQ1Q8GSfm8-preCreateGame-rerecorded,medium,SmallSlide|-00.97|+00.20|-03.02,Bed|-02.46|00.00|-00.57,1
156,me2bPEvz4glQ1Q8GSfm8-preCreateGame-rerecorded,medium,SmallSlide|-00.97|+00.20|-03.02,Bed|-02.46|00.00|-00.57,1
157,moftPPoSfP3mG38GT9Vw-editGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,4238
158,moftPPoSfP3mG38GT9Vw-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,770
159,moftPPoSfP3mG38GT9Vw-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,835
160,nFX80fkvz9jp4TEfDQUl-gameplay-attempt-1-rerecorded,few,Chair|+02.83|00.00|00.00,Bed|-02.46|00.00|-00.57,36
161,nFX80fkvz9jp4TEfDQUl-gameplay-attempt-1-rerecorded,few,building_2,Bed|-02.46|00.00|-00.57,602
162,nFX80fkvz9jp4TEfDQUl-gameplay-attempt-1-rerecorded,few,building_0,Bed|-02.46|00.00|-00.57,7
163,nFX80fkvz9jp4TEfDQUl-preCreateGame-rerecorded,few,Pillow|-02.45|+00.66|+00.10,Bed|-02.46|00.00|-00.57,3
164,nFX80fkvz9jp4TEfDQUl-preCreateGame-rerecorded,few,Chair|+02.83|00.00|00.00,Bed|-02.46|00.00|-00.57,18
165,oevKPEL8LXqT4gswKdMK-createGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,372
166,oevKPEL8LXqT4gswKdMK-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,326
167,oevKPEL8LXqT4gswKdMK-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,348
168,qSbsQv2jOptuDovotsIE-createGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,225
169,qSbsQv2jOptuDovotsIE-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,944
170,qSbsQv2jOptuDovotsIE-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,472
171,sarF2f4w4geYW16PILR2-createGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,290
172,sarF2f4w4geYW16PILR2-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1363
173,sarF2f4w4geYW16PILR2-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1438
174,tM0MidzjBJBLkOEPYr2F-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,530
175,tM0MidzjBJBLkOEPYr2F-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,2405
